Company Symbol,Company Name,Sector,Shares Outstanding,EPS,P/E Ratio,Book Value,PBV,Market Capitalization,% Dividend,% Bonus,Right Share
NABILD87,9% Nabil Debenture 2087 (NABILD87),Corporate Debenture,"3,000,000.00","0.00 (FY:, Q:0)",0,0,"1,050.00","3,150,000,000.00",,,
NIBD84,8.5% Nepal Investment Bank Debenture 2084 (NIBD84),Corporate Debenture,"4,000,000.00","0.00 (FY:, Q:0)",0,0,"1,027.10","4,108,400,000.00",,,
NIL,Neco Insurance Co. Ltd. (NIL),Non-Life Insurance,"20,123,606.19","15.51 (FY:081-082, Q:2)",49.77,281.95,2.74,"15,535,423,978.68",,,"1:0.25
                                
                                    (FY:081-082)"
SARBTM,Sarbottam Cement Limited (SARBTM),Manufacturing And Processing,"49,755,000.00","9.70 (FY:081-082, Q:2)",84.97,186.66,4.42,"41,008,071,000.00","3.00
                                
                                    (FY:080-081)","7.00
                                
                                    (FY:080-081)",
LLBSPO,Laxmi Laghubitta Bittiya Sanstha Limited Promoter Share (LLBSPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
RBCL,Rastriya Beema Company Limited (RBCL),Non-Life Insurance,"2,666,390.59","260.04 (FY:081-082, Q:2)",56.92,"6,322.83",2.34,"39,463,114,010.12","6.00
                                
                                    (FY:062-063)","114.27
                                
                                    (FY:062-063)",
CKHL,Chirkhwa Hydropower Limited (CKHL),Hydro Power,"4,000,000.00","5.86 (FY:081-082, Q:2)",127.65,97,7.71,"2,992,000,000.00",,,
HBLD83,10% Himalayan Bank Debenture 2083 (HBLD83),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,060.00",0,,,
HEIP,Himalayan Everest Insurance Limited Promoter (HEIP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,376.5,0,,,
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited (USLB),Microfinance,"2,468,657.36","5.17 (FY:081-082, Q:2)",327.85,133.37,12.71,"4,184,374,225.20",,"30.00
                                
                                    (FY:077-078)","5:1
                                
                                    (FY:075-076)"
FMDBLP,First Micro Finance Laghubitta Bittiya Sanstha Ltd. Promoter Share (FMDBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,280.5,0,"0.79
                                
                                    (FY:071-072)","15.00
                                
                                    (FY:071-072)",
NIBD2082,10.5% Nepal Investment Debenture 2082 (NIBD2082),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,047.00",0,,,
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd. (VLBS),Microfinance,"7,450,403.59","18.91 (FY:081-082, Q:2)",45.37,161.76,5.3,"6,392,446,280.22",,,
ILBS,Infinity Laghubitta Bittiya Sanstha Limited (ILBS),Microfinance,"4,974,159.42","-38.05 (FY:081-082, Q:2)",-25.83,118.61,8.29,"4,889,598,709.86","1.46
                                
                                    (FY:077-078)",,
